,name,value
0,SNID,15415799
1,IAUC,NULL
2,FAKE,2
3,RA,214.75725728862318
4,DEC,-2.3985856088026116
5,PIXSIZE,0.20000000298023224
6,NXPIX,-9
7,NYPIX,-9
8,SNTYPE,112
9,NOBS,156
10,PTROBS_MIN,1
11,PTROBS_MAX,156
12,MWEBV,0.04901830852031708
13,MWEBV_ERR,0.0024509155191481113
14,REDSHIFT_HELIO,0.3195926547050476
15,REDSHIFT_HELIO_ERR,0.3312000036239624
16,REDSHIFT_FINAL,0.3207068145275116
17,REDSHIFT_FINAL_ERR,0.3312000036239624
18,VPEC,0.0
19,VPEC_ERR,300.0
20,HOSTGAL_NMATCH,1
21,HOSTGAL_NMATCH2,1
22,HOSTGAL_OBJID,8812648773
23,HOSTGAL_FLAG,0
24,HOSTGAL_PHOTOZ,0.3195926547050476
25,HOSTGAL_PHOTOZ_ERR,0.3312000036239624
26,HOSTGAL_SPECZ,-9.0
27,HOSTGAL_SPECZ_ERR,-9.0
28,HOSTGAL_RA,214.75727006440798
29,HOSTGAL_DEC,-2.398563735304122
30,HOSTGAL_SNSEP,0.09117726981639862
31,HOSTGAL_DDLR,0.17734350264072418
32,HOSTGAL_CONFUSION,-99.0
33,HOSTGAL_LOGMASS,8.425399780273438
34,HOSTGAL_LOGMASS_ERR,-9999.0
35,HOSTGAL_LOGSFR,-9999.0
36,HOSTGAL_LOGSFR_ERR,-9999.0
37,HOSTGAL_LOGsSFR,-9999.0
38,HOSTGAL_LOGsSFR_ERR,-9999.0
39,HOSTGAL_COLOR,-9999.0
40,HOSTGAL_COLOR_ERR,-9999.0
41,HOSTGAL_ELLIPTICITY,0.3328999876976013
42,HOSTGAL_OBJID2,-9
43,HOSTGAL_SQRADIUS,8.495100021362305
44,HOSTGAL_OBJID_UNIQUE,-9
45,HOSTGAL_ZPHOT_Q000,0.06509178876876831
46,HOSTGAL_ZPHOT_Q010,0.19940324127674103
47,HOSTGAL_ZPHOT_Q020,0.22973915934562683
48,HOSTGAL_ZPHOT_Q030,0.2665492296218872
49,HOSTGAL_ZPHOT_Q040,0.2940618395805359
50,HOSTGAL_ZPHOT_Q050,0.3224409222602844
51,HOSTGAL_ZPHOT_Q060,0.34644874930381775
52,HOSTGAL_ZPHOT_Q070,0.36724385619163513
53,HOSTGAL_ZPHOT_Q080,0.3956521451473236
54,HOSTGAL_ZPHOT_Q090,0.46355751156806946
55,HOSTGAL_ZPHOT_Q100,0.7052908539772034
56,HOSTGAL_MAG_u,25.67794418334961
57,HOSTGAL_MAG_g,24.65011978149414
58,HOSTGAL_MAG_r,23.62495231628418
59,HOSTGAL_MAG_i,23.302812576293945
60,HOSTGAL_MAG_z,23.117692947387695
61,HOSTGAL_MAG_Y,22.966232299804688
62,HOSTGAL_MAGERR_u,0.9790700078010559
63,HOSTGAL_MAGERR_g,0.07677999883890152
64,HOSTGAL_MAGERR_r,0.03116999939084053
65,HOSTGAL_MAGERR_i,0.03381999954581261
66,HOSTGAL_MAGERR_z,0.04831000044941902
67,HOSTGAL_MAGERR_Y,0.09781999886035919
68,HOSTGAL2_OBJID,0
69,HOSTGAL2_FLAG,0
70,HOSTGAL2_PHOTOZ,-9.0
71,HOSTGAL2_PHOTOZ_ERR,-9.0
72,HOSTGAL2_SPECZ,-9.0
73,HOSTGAL2_SPECZ_ERR,-9.0
74,HOSTGAL2_RA,-999.0
75,HOSTGAL2_DEC,-999.0
76,HOSTGAL2_SNSEP,-9.0
77,HOSTGAL2_DDLR,-9.0
78,HOSTGAL2_LOGMASS,-9999.0
79,HOSTGAL2_LOGMASS_ERR,-9999.0
80,HOSTGAL2_LOGSFR,-9999.0
81,HOSTGAL2_LOGSFR_ERR,-9999.0
82,HOSTGAL2_LOGsSFR,-9999.0
83,HOSTGAL2_LOGsSFR_ERR,-9999.0
84,HOSTGAL2_COLOR,-9999.0
85,HOSTGAL2_COLOR_ERR,-9999.0
86,HOSTGAL2_ELLIPTICITY,-9999.0
87,HOSTGAL2_OBJID2,0
88,HOSTGAL2_SQRADIUS,-9999.0
89,HOSTGAL2_OBJID_UNIQUE,0
90,HOSTGAL2_MAG_u,999.0
91,HOSTGAL2_MAG_g,999.0
92,HOSTGAL2_MAG_r,999.0
93,HOSTGAL2_MAG_i,999.0
94,HOSTGAL2_MAG_z,999.0
95,HOSTGAL2_MAG_Y,999.0
96,HOSTGAL2_MAGERR_u,999.0
97,HOSTGAL2_MAGERR_g,999.0
98,HOSTGAL2_MAGERR_r,999.0
99,HOSTGAL2_MAGERR_i,999.0
100,HOSTGAL2_MAGERR_z,999.0
101,HOSTGAL2_MAGERR_Y,999.0
102,HOSTGAL2_ZPHOT_Q000,-9.0
103,HOSTGAL2_ZPHOT_Q010,-9.0
104,HOSTGAL2_ZPHOT_Q020,-9.0
105,HOSTGAL2_ZPHOT_Q030,-9.0
106,HOSTGAL2_ZPHOT_Q040,-9.0
107,HOSTGAL2_ZPHOT_Q050,-9.0
108,HOSTGAL2_ZPHOT_Q060,-9.0
109,HOSTGAL2_ZPHOT_Q070,-9.0
110,HOSTGAL2_ZPHOT_Q080,-9.0
111,HOSTGAL2_ZPHOT_Q090,-9.0
112,HOSTGAL2_ZPHOT_Q100,-9.0
113,HOSTGAL_SB_FLUXCAL_u,1.1204512119293213
114,HOSTGAL_SB_FLUXCAL_g,2.8875012397766113
115,HOSTGAL_SB_FLUXCAL_r,7.423177242279053
116,HOSTGAL_SB_FLUXCAL_i,9.987232208251953
117,HOSTGAL_SB_FLUXCAL_z,11.843853950500488
118,HOSTGAL_SB_FLUXCAL_Y,13.616872787475586
119,PEAKMJD,60371.58203125
120,MJD_TRIGGER,60378.34375
121,MJD_DETECT_FIRST,60378.34375
122,MJD_DETECT_LAST,60378.37109375
123,SEARCH_TYPE,-9
124,SIM_MODEL_NAME,SIMSED.SNIax
125,SIM_MODEL_INDEX,7
126,SIM_TYPE_INDEX,12
127,SIM_TYPE_NAME,UNKNOWN
128,SIM_TEMPLATE_INDEX,562
129,SIM_LIBID,15045
130,SIM_NGEN_LIBID,1
131,SIM_NOBS_UNDEFINED,0
132,SIM_SEARCHEFF_MASK,1
133,SIM_REDSHIFT_HELIO,0.4272926449775696
134,SIM_REDSHIFT_CMB,0.430505633354187
135,SIM_REDSHIFT_HOST,0.4388999938964844
136,SIM_REDSHIFT_FLAG,3
137,SIM_VPEC,-421.1175231933594
138,SIM_HOSTLIB_GALID,8812648773
139,SIM_HOSTLIB(LOGMASS_TRUE),8.425399780273438
140,SIM_HOSTLIB(LOG_SFR),-0.7875000238418579
141,SIM_DLMU,41.85865783691406
142,SIM_LENSDMU,-0.011207041330635548
143,SIM_RA,214.75726318359375
144,SIM_DEC,-2.398585557937622
145,SIM_MWEBV,0.052606258541345596
146,SIM_PEAKMJD,60371.125
147,SIM_MJD_EXPLODE,60345.125
148,SIM_MAGSMEAR_COH,0.0
149,SIM_AV,0.3990744352340698
150,SIM_RV,3.0999999046325684
151,SIM_PEAKMAG_u,27.64081573486328
152,SIM_PEAKMAG_g,24.816438674926758
153,SIM_PEAKMAG_r,23.6497802734375
154,SIM_PEAKMAG_i,23.567188262939453
155,SIM_PEAKMAG_z,23.555557250976562
156,SIM_PEAKMAG_Y,23.63487434387207
157,SIM_EXPOSURE_u,1.0
158,SIM_EXPOSURE_g,1.0
159,SIM_EXPOSURE_r,1.0
160,SIM_EXPOSURE_i,1.0
161,SIM_EXPOSURE_z,1.0
162,SIM_EXPOSURE_Y,1.0
163,SIM_GALFRAC_u,5.770736217498779
164,SIM_GALFRAC_g,1.1030867099761963
165,SIM_GALFRAC_r,0.9683089256286621
166,SIM_GALFRAC_i,1.2073479890823364
167,SIM_GALFRAC_z,1.4165371656417847
168,SIM_GALFRAC_Y,1.752020239830017
169,SIM_SUBSAMPLE_INDEX,-9
